timestamp,metric_name,value
2026-03-15T00:00:00+00:00,availability,99.933937
2026-03-15T00:00:00+00:00,connection_saturation,0.271850
2026-03-15T00:00:00+00:00,cpu_usage,12.184498
2026-03-15T00:00:00+00:00,cpu_usage_pct,35.861214
2026-03-15T00:00:00+00:00,disk_io_rate,0.144783
2026-03-15T00:00:00+00:00,disk_usage_pct,42.071209
2026-03-15T00:00:00+00:00,error_rate,0.000921
2026-03-15T00:00:00+00:00,memory_usage,414092355.192522
2026-03-15T00:00:00+00:00,memory_usage_pct,56.101826
2026-03-15T00:00:00+00:00,network_in_rate,127004.101749
2026-03-15T00:00:00+00:00,network_out_rate,83045.570445
2026-03-15T00:00:00+00:00,process_cpu_pct,5.350162
2026-03-15T00:00:00+00:00,process_handles,194.920409
2026-03-15T00:00:00+00:00,process_io_bytes,5174.972184
2026-03-15T00:00:00+00:00,process_memory_mb,120.448663
2026-03-15T00:00:00+00:00,query_latency_p99,40.869046
2026-03-15T00:00:00+00:00,response_time_p99,434.747390
2026-03-15T00:05:00+00:00,availability,99.902630
2026-03-15T00:05:00+00:00,connection_saturation,0.267829
2026-03-15T00:05:00+00:00,cpu_usage,11.082712
2026-03-15T00:05:00+00:00,cpu_usage_pct,33.874197
2026-03-15T00:05:00+00:00,disk_io_rate,0.151827
2026-03-15T00:05:00+00:00,disk_usage_pct,42.250079
2026-03-15T00:05:00+00:00,error_rate,0.000925
2026-03-15T00:05:00+00:00,memory_usage,430738308.312182
2026-03-15T00:05:00+00:00,memory_usage_pct,56.247041
2026-03-15T00:05:00+00:00,network_in_rate,131712.170830
2026-03-15T00:05:00+00:00,network_out_rate,83801.308067
2026-03-15T00:05:00+00:00,process_cpu_pct,4.955490
2026-03-15T00:05:00+00:00,process_handles,197.907803
2026-03-15T00:05:00+00:00,process_io_bytes,4651.706427
2026-03-15T00:05:00+00:00,process_memory_mb,127.034514
2026-03-15T00:05:00+00:00,query_latency_p99,43.170476
2026-03-15T00:05:00+00:00,response_time_p99,471.478818
2026-03-15T00:10:00+00:00,availability,99.980902
2026-03-15T00:10:00+00:00,connection_saturation,0.288158
2026-03-15T00:10:00+00:00,cpu_usage,11.233363
2026-03-15T00:10:00+00:00,cpu_usage_pct,36.387502
